,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
nob,no,✔,Norwegian (Bokmål),norsk (bokmål),nb,,nb,,✔,,✔,,✔,,✔,,,
nov,nov,,Novial,ovial,nov,,,,,,,,✔,,✔,,,
npi,ne,,Nepali,नेपाली,ne,,,,✔,,✔,,✔,,✔,,,
nqo,nqo,,N'Ko,,,,,,,,,,✔,,✔,,,
nso,nso,,Northern Sotho,Sesotho sa Leboa,nso,,,,,,,,✔,,✔,,,
nya,ny,,Chichewa/Nyanja,Chi-Chewa,ny,,,,,,,,✔,,✔,,,
oci,oc,,Occitan,occitan,oc,,,,,,✔,,✔,,✔,,,
orm,om,✔,Ossetian,Oromoo,om,,,,,,,,✔,,✔,,,
ory,or,,Odia,ଓଡ଼ିଆ,or,,,,✔,,✔,,✔,,✔,,,
oss,os,,Ossetian,Ирон,os,,,,,,,,✔,✔,✔,,,
pag,pag,,Pangasinan,Pangasinan,pag,,,,,,,,✔,,✔,,,
pam,pam,,Pampanga,Kapampangan,pam,,,,,,,,✔,,✔,,,
pan,pa,,Punjabi,ਪੰਜਾਬੀ,pa,,,,✔,,✔,,✔,,✔,,,
pan-guru,pa-guru,,,ਪੰਜਾਬੀ,,,,,,,,,✔,,✔,,,
pap,pap,,Papiamento,Papiamentu,pap,,,,,,,,✔,,✔,,,
pcd,pcd,,Picard,Picard,pcd,,,,,,,,✔,,✔,,,
pdc,pdc,,Pennsylvania German,Deitsch,pdc,,,,,,,,✔,,✔,,,
pdt,pdt,,Plautdietsch,Plautdietsch,,X,,,,,,,✔,,✔,,,
pfl,pfl,,Pfaelzisch,Pälzisch,,,,,,,,,✔,,✔,,,
pih,pih,,Pitcairn-Norfolk,Norfuk / Pitkern,pih,,,,,,,,✔,,✔,,,
